without bias model results (i/p->1, o/p->2 (expected));

w/o eps: 0.005124, w/t eps: 0.005004, w: 1.971120
w/o eps: 0.005004, w/t eps: 0.004887, w: 1.971461
w/o eps: 0.004887, w/t eps: 0.004772, w: 1.971797
w/o eps: 0.004772, w/t eps: 0.004660, w: 1.972130
w/o eps: 0.004660, w/t eps: 0.004551, w: 1.972458
w/o eps: 0.004551, w/t eps: 0.004445, w: 1.972783
w/o eps: 0.004445, w/t eps: 0.004341, w: 1.973103
w/o eps: 0.004341, w/t eps: 0.004239, w: 1.973420
w/o eps: 0.004239, w/t eps: 0.004140, w: 1.973733
w/o eps: 0.004140, w/t eps: 0.004043, w: 1.974042
w/o eps: 0.004043, w/t eps: 0.003948, w: 1.974348
w/o eps: 0.003948, w/t eps: 0.003856, w: 1.974650
w/o eps: 0.003856, w/t eps: 0.003766, w: 1.974948
w/o eps: 0.003766, w/t eps: 0.003678, w: 1.975243
w/o eps: 0.003678, w/t eps: 0.003592, w: 1.975534
w/o eps: 0.003592, w/t eps: 0.003508, w: 1.975821
w/o eps: 0.003508, w/t eps: 0.003426, w: 1.976106
w/o eps: 0.003426, w/t eps: 0.003346, w: 1.976386
w/o eps: 0.003346, w/t eps: 0.003267, w: 1.976664
w/o eps: 0.003267, w/t eps: 0.003191, w: 1.976938
w/o eps: 0.003191, w/t eps: 0.003117, w: 1.977208
w/o eps: 0.003117, w/t eps: 0.003044, w: 1.977476
w/o eps: 0.003044, w/t eps: 0.002973, w: 1.977740
w/o eps: 0.002973, w/t eps: 0.002904, w: 1.978001
w/o eps: 0.002904, w/t eps: 0.002836, w: 1.978259
w/o eps: 0.002836, w/t eps: 0.002770, w: 1.978514
w/o eps: 0.002770, w/t eps: 0.002705, w: 1.978766
w/o eps: 0.002705, w/t eps: 0.002642, w: 1.979015
w/o eps: 0.002642, w/t eps: 0.002581, w: 1.979261
w/o eps: 0.002581, w/t eps: 0.002521, w: 1.979504
w/o eps: 0.002521, w/t eps: 0.002462, w: 1.979744
w/o eps: 0.002462, w/t eps: 0.002405, w: 1.979981
w/o eps: 0.002405, w/t eps: 0.002349, w: 1.980215
w/o eps: 0.002349, w/t eps: 0.002294, w: 1.980446
w/o eps: 0.002294, w/t eps: 0.002241, w: 1.980675
w/o eps: 0.002241, w/t eps: 0.002189, w: 1.980901
w/o eps: 0.002189, w/t eps: 0.002138, w: 1.981124
w/o eps: 0.002138, w/t eps: 0.002088, w: 1.981345
w/o eps: 0.002088, w/t eps: 0.002040, w: 1.981562
w/o eps: 0.002040, w/t eps: 0.001992, w: 1.981778
w/o eps: 0.001992, w/t eps: 0.001946, w: 1.981990
w/o eps: 0.001946, w/t eps: 0.001901, w: 1.982201
w/o eps: 0.001901, w/t eps: 0.001857, w: 1.982408
w/o eps: 0.001857, w/t eps: 0.001814, w: 1.982613
w/o eps: 0.001814, w/t eps: 0.001772, w: 1.982816
w/o eps: 0.001772, w/t eps: 0.001731, w: 1.983016
w/o eps: 0.001731, w/t eps: 0.001691, w: 1.983214
w/o eps: 0.001691, w/t eps: 0.001651, w: 1.983410
w/o eps: 0.001651, w/t eps: 0.001613, w: 1.983603
w/o eps: 0.001613, w/t eps: 0.001576, w: 1.983793
w/o eps: 0.001576, w/t eps: 0.001539, w: 1.983982
w/o eps: 0.001539, w/t eps: 0.001504, w: 1.984168
w/o eps: 0.001504, w/t eps: 0.001469, w: 1.984352
w/o eps: 0.001469, w/t eps: 0.001435, w: 1.984534
w/o eps: 0.001435, w/t eps: 0.001402, w: 1.984713
w/o eps: 0.001402, w/t eps: 0.001370, w: 1.984891
w/o eps: 0.001370, w/t eps: 0.001338, w: 1.985066
w/o eps: 0.001338, w/t eps: 0.001307, w: 1.985240
w/o eps: 0.001307, w/t eps: 0.001277, w: 1.985411
w/o eps: 0.001277, w/t eps: 0.001248, w: 1.985580
w/o eps: 0.001248, w/t eps: 0.001219, w: 1.985747
w/o eps: 0.001219, w/t eps: 0.001191, w: 1.985912
w/o eps: 0.001191, w/t eps: 0.001163, w: 1.986075
w/o eps: 0.001163, w/t eps: 0.001137, w: 1.986236
w/o eps: 0.001137, w/t eps: 0.001111, w: 1.986395
w/o eps: 0.001111, w/t eps: 0.001085, w: 1.986552
w/o eps: 0.001085, w/t eps: 0.001060, w: 1.986708
w/o eps: 0.001060, w/t eps: 0.001036, w: 1.986861
w/o eps: 0.001036, w/t eps: 0.001012, w: 1.987013
w/o eps: 0.001012, w/t eps: 0.000989, w: 1.987163
w/o eps: 0.000989, w/t eps: 0.000966, w: 1.987311
w/o eps: 0.000966, w/t eps: 0.000944, w: 1.987457
w/o eps: 0.000944, w/t eps: 0.000922, w: 1.987602
w/o eps: 0.000922, w/t eps: 0.000901, w: 1.987744
w/o eps: 0.000901, w/t eps: 0.000881, w: 1.987885
w/o eps: 0.000881, w/t eps: 0.000860, w: 1.988025
w/o eps: 0.000860, w/t eps: 0.000841, w: 1.988162
w/o eps: 0.000841, w/t eps: 0.000822, w: 1.988298
w/o eps: 0.000822, w/t eps: 0.000803, w: 1.988433
w/o eps: 0.000803, w/t eps: 0.000784, w: 1.988566
w/o eps: 0.000784, w/t eps: 0.000767, w: 1.988697
w/o eps: 0.000767, w/t eps: 0.000749, w: 1.988827
w/o eps: 0.000749, w/t eps: 0.000732, w: 1.988955
w/o eps: 0.000732, w/t eps: 0.000715, w: 1.989081
w/o eps: 0.000715, w/t eps: 0.000699, w: 1.989206
w/o eps: 0.000699, w/t eps: 0.000683, w: 1.989330
w/o eps: 0.000683, w/t eps: 0.000668, w: 1.989452
w/o eps: 0.000668, w/t eps: 0.000652, w: 1.989573
w/o eps: 0.000652, w/t eps: 0.000638, w: 1.989692
w/o eps: 0.000638, w/t eps: 0.000623, w: 1.989809
w/o eps: 0.000623, w/t eps: 0.000609, w: 1.989926
w/o eps: 0.000609, w/t eps: 0.000595, w: 1.990041
w/o eps: 0.000595, w/t eps: 0.000582, w: 1.990154
w/o eps: 0.000582, w/t eps: 0.000568, w: 1.990266
w/o eps: 0.000568, w/t eps: 0.000556, w: 1.990377
w/o eps: 0.000556, w/t eps: 0.000543, w: 1.990487
w/o eps: 0.000543, w/t eps: 0.000531, w: 1.990595
w/o eps: 0.000531, w/t eps: 0.000519, w: 1.990701
w/o eps: 0.000519, w/t eps: 0.000507, w: 1.990807
w/o eps: 0.000507, w/t eps: 0.000496, w: 1.990911
w/o eps: 0.000496, w/t eps: 0.000484, w: 1.991014
w/o eps: 0.000484, w/t eps: 0.000474, w: 1.991116
w/o eps: 0.000474, w/t eps: 0.000463, w: 1.991217
w/o eps: 0.000463, w/t eps: 0.000452, w: 1.991316
w/o eps: 0.000452, w/t eps: 0.000442, w: 1.991415
w/o eps: 0.000442, w/t eps: 0.000432, w: 1.991512
w/o eps: 0.000432, w/t eps: 0.000423, w: 1.991607
w/o eps: 0.000423, w/t eps: 0.000413, w: 1.991702
w/o eps: 0.000413, w/t eps: 0.000404, w: 1.991796
w/o eps: 0.000404, w/t eps: 0.000395, w: 1.991888
w/o eps: 0.000395, w/t eps: 0.000386, w: 1.991980
w/o eps: 0.000386, w/t eps: 0.000377, w: 1.992070
w/o eps: 0.000377, w/t eps: 0.000369, w: 1.992159
w/o eps: 0.000369, w/t eps: 0.000361, w: 1.992247
w/o eps: 0.000361, w/t eps: 0.000353, w: 1.992334
w/o eps: 0.000353, w/t eps: 0.000345, w: 1.992420
w/o eps: 0.000345, w/t eps: 0.000337, w: 1.992505
w/o eps: 0.000337, w/t eps: 0.000330, w: 1.992589
w/o eps: 0.000330, w/t eps: 0.000322, w: 1.992672
w/o eps: 0.000322, w/t eps: 0.000315, w: 1.992754
w/o eps: 0.000315, w/t eps: 0.000308, w: 1.992835
w/o eps: 0.000308, w/t eps: 0.000301, w: 1.992915
w/o eps: 0.000301, w/t eps: 0.000295, w: 1.992994
w/o eps: 0.000295, w/t eps: 0.000288, w: 1.993072
w/o eps: 0.000288, w/t eps: 0.000282, w: 1.993149
w/o eps: 0.000282, w/t eps: 0.000275, w: 1.993225
w/o eps: 0.000275, w/t eps: 0.000269, w: 1.993301
w/o eps: 0.000269, w/t eps: 0.000263, w: 1.993375
w/o eps: 0.000263, w/t eps: 0.000258, w: 1.993448
w/o eps: 0.000258, w/t eps: 0.000252, w: 1.993521
w/o eps: 0.000252, w/t eps: 0.000246, w: 1.993593
w/o eps: 0.000246, w/t eps: 0.000241, w: 1.993664
w/o eps: 0.000241, w/t eps: 0.000236, w: 1.993734
w/o eps: 0.000236, w/t eps: 0.000230, w: 1.993803
w/o eps: 0.000230, w/t eps: 0.000225, w: 1.993871
w/o eps: 0.000225, w/t eps: 0.000220, w: 1.993939
w/o eps: 0.000220, w/t eps: 0.000216, w: 1.994006
w/o eps: 0.000216, w/t eps: 0.000211, w: 1.994072
w/o eps: 0.000211, w/t eps: 0.000206, w: 1.994137
w/o eps: 0.000206, w/t eps: 0.000202, w: 1.994201
